# Header: Project1::Sample_LC steel::All data::Grain Size   11/22/2023
# 
# Partition Formula: 
# Grain Tolerance Angle: 5.00
# Minimum Grain Size: 2
# Minimum Anti-Grain Size: 2
# Minimum Confidence Index: 0.00
# Multiple Rows Requirement: Off
# Anti-Grain Multiple Rows Requirement: Off
# Column 1: Integer identifying grain. Negative value indicates an anti-grain
# Column 2: An integer identifying the phase (-1 for anti-grains)
#           0 -  Iron (Alpha)
# Column 3-5: Average orientation (phi1, PHI, phi2) in degrees (360, 360, 360 for anti-grains)
# Column 6-7: Average Position (x, y) in microns
# Column 8: Average Image Quality (IQ)
# Column 9: Average Confidence Index (CI, -1 for anti-grains)
# Column 10: Average Fit (degrees, 180 for anti-grains or invalid grains)
# Column 11: Edge grain (1 = touching edge, otherwise 0)
# Column 12: Area of grain in square microns
# Column 13: Diameter of grain in microns
# Column 14: Aspect ratio of ellipse fit to grain
# Column 15: Length of major axis (radius) of ellipse fit to grain in microns
# Column 16: Length of minor axis (radius) of ellipse fit to grain in microns
# Column 17: Orientation (relative to the horizontal) of major axis of ellipse fit to grain in degrees
  1496   0  169.091  107.640  202.93 2.041573e+02 3.009797e+02 132651.7  0.910  0.66 0 3.966396e+02 2.247259e+01 0.56 1.476766e+01 8.235668e+00  62.8 
  1497   0  191.090   50.435  317.44 2.189567e+02 3.054977e+02 118262.4  0.854  0.55 0 2.398890e+02 1.747673e+01 0.68 1.006643e+01 6.889293e+00 126.6 
  1498   0  230.119  176.063  174.32 2.303030e+02 2.956910e+02 107216.2  0.870  0.73 0 8.573651e+01 1.044812e+01 0.23 1.142732e+01 2.652023e+00  93.8 
  1499   0   23.943   61.943  323.51 2.366729e+02 3.038213e+02 121782.8  0.893  0.61 0 9.266472e+01 1.086206e+01 0.61 6.806858e+00 4.133777e+00  77.3 
  1500   0  183.252   64.705  228.09 2.536484e+02 2.987461e+02 134047.8  0.880  0.64 0 4.087640e+02 2.281347e+01 0.48 1.496941e+01 7.225814e+00 143.3 
  1501   0   20.210   69.997  275.89 2.514167e+02 2.997892e+02 117626.9  0.870  0.62 0 1.039230e+01 3.637567e+00 0.62 2.362909e+00 1.456805e+00 102.2 
  1502   0  146.320  147.260  308.52 2.662144e+02 3.012534e+02 98375.8  0.793  0.70 0 3.031089e+01 6.212328e+00 0.20 7.112195e+00 1.417563e+00  96.1 
  1503   0  257.258  177.135   93.67 2.782575e+02 3.016799e+02 156513.9  0.936  0.66 0 4.087640e+02 2.281347e+01 0.51 1.576653e+01 7.995636e+00 117.4 
  1504   0  128.136  142.985  140.23 2.924373e+02 2.852885e+02 137462.2  0.894  0.69 0 5.308735e+02 2.599864e+01 0.43 2.141457e+01 9.154586e+00  94.0 
  1505   0  218.312   68.538  238.35 2.975963e+02 3.174744e+02 116980.5  0.905  0.62 0 7.084088e+02 3.003288e+01 0.57 1.969985e+01 1.128697e+01 107.7 
  1506   0  216.196   61.466  234.47 3.097738e+02 2.965078e+02 115494.2  0.833  0.66 0 1.835974e+02 1.528932e+01 0.40 1.200348e+01 4.850984e+00  61.4 
  1507   0   99.582   99.183  184.91 3.268634e+02 3.134923e+02 137651.4  0.826  0.79 0 4.996967e+02 2.522367e+01 0.40 2.003331e+01 7.986135e+00  78.5 
  1508   0  270.265  134.183   81.28 3.330540e+02 3.003879e+02 130583.5  0.876  0.66 0 1.524205e+02 1.393082e+01 0.42 1.106045e+01 4.683030e+00  66.0 
  1509   0  355.862   82.363  305.84 3.460322e+02 3.063302e+02 130586.7  0.761  0.65 0 2.563435e+02 1.806618e+01 0.32 1.582982e+01 5.089622e+00 125.8 
  1510   0  273.830  105.464   92.55 3.463719e+02 2.857019e+02 130215.9  0.906  0.59 0 4.148262e+02 2.298202e+01 0.45 1.726510e+01 7.687878e+00 106.0 
  1511   0  233.738   18.959  224.27 3.458572e+02 3.025316e+02 101756.8  0.707  0.83 0 1.818653e+01 4.812049e+00 0.37 3.818812e+00 1.430367e+00 130.9 
  1512   0   96.352  120.267  152.25 3.614329e+02 3.141997e+02 130155.3  0.918  0.69 0 6.495190e+02 2.875749e+01 0.27 2.771433e+01 7.599010e+00  98.3 
  1513   0  188.425   50.903  263.64 3.754707e+02 2.973525e+02 120589.8  0.777  0.63 0 1.766692e+02 1.499807e+01 0.56 9.712555e+00 5.469987e+00 108.0 
  1514   0   12.822   70.202  350.64 3.887643e+02 3.013891e+02 128026.1  0.898  0.65 0 3.671948e+02 2.162237e+01 0.55 1.445973e+01 7.957550e+00  69.8 
  1515   0  158.179   53.277  315.26 5.469965e+02 6.229387e+02 125898.4  0.882  0.58 0 2.450852e+02 1.766500e+01 0.68 1.037225e+01 7.089619e+00 128.8 
  1516   0  299.829  134.069   38.51 4.079191e+02 2.950565e+02 137460.5  0.799  0.90 0 2.727980e+02 1.863699e+01 0.41 1.485204e+01 6.053484e+00 163.6 
  1517   0  355.178   49.784  312.63 4.164107e+02 3.113882e+02 130831.0  0.860  0.51 0 3.819172e+02 2.205158e+01 0.58 1.410969e+01 8.131470e+00  82.9 
  1518   0   10.851   44.528  231.05 4.228445e+02 2.973293e+02 114836.3  0.765  0.80 0 1.195115e+02 1.233559e+01 0.58 8.129165e+00 4.733222e+00 162.4 
  1519   0  168.777   53.608  323.00 4.398034e+02 2.972440e+02 133038.3  0.804  0.79 0 3.697928e+02 2.169873e+01 0.53 1.550268e+01 8.201489e+00  39.3 
  1520   0  252.906   62.139  223.49 4.621723e+02 3.085783e+02 113533.9  0.799  0.66 0 1.809993e+02 1.518076e+01 0.63 9.451626e+00 5.937813e+00  17.8 
  1521   0  108.221  143.587  180.21 2.903050e+02 7.155046e+02 115247.5  0.897  0.74 0 1.619467e+02 1.435956e+01 0.61 8.976831e+00 5.442964e+00  18.8 
  1522   0    5.927   48.235  278.41 4.727890e+02 3.025955e+02 104764.1  0.752  0.63 0 1.723391e+02 1.481313e+01 0.41 1.137249e+01 4.685724e+00  74.7 
  1523   0  262.624   61.141  217.01 4.823110e+02 2.914179e+02 125727.0  0.857  0.57 0 3.273576e+02 2.041579e+01 0.64 1.266229e+01 8.148511e+00 110.8 
  1524   0   78.649   53.119  141.41 4.922041e+02 3.083277e+02 115156.3  0.830  0.76 0 6.668395e+02 2.913840e+01 0.61 1.876389e+01 1.145436e+01 117.8 
  1525   0  121.882  162.528  176.89 5.115053e+02 3.008738e+02 115169.6  0.905  0.66 0 2.416211e+02 1.753971e+01 0.56 1.136147e+01 6.406982e+00  52.0 
  1526   0  190.442   31.249  309.95 5.356664e+02 3.013438e+02 133318.8  0.857  0.61 0 2.528794e+02 1.794369e+01 0.74 9.928909e+00 7.355930e+00  16.9 
  1527   0  192.367   40.503  141.27 5.551051e+02 2.838744e+02 119591.5  0.855  0.60 0 9.708145e+02 3.515792e+01 0.63 2.153099e+01 1.357852e+01  63.1 
  1528   0  130.225  105.461  149.05 5.505021e+02 3.247162e+02 136545.6  0.941  0.58 0 6.711697e+02 2.923285e+01 0.36 2.542310e+01 9.214248e+00 109.5 
  1529   0   76.508  116.410  137.09 5.806744e+02 3.198360e+02 120492.2  0.843  0.68 0 1.027972e+03 3.617810e+01 0.51 2.608319e+01 1.325252e+01  47.9 
  1530   0   26.991  110.394  304.08 5.790774e+02 2.852059e+02 131655.0  0.873  0.68 0 4.182903e+02 2.307777e+01 0.43 1.755232e+01 7.521632e+00  84.3 
  1531   0    2.373   50.083  308.03 5.987911e+02 3.140568e+02 134168.5  0.823  0.67 0 5.196152e+02 2.572148e+01 0.39 2.165834e+01 8.471092e+00  71.1 
  1532   0  249.209   55.952  231.93 6.027765e+02 2.977052e+02 112910.8  0.836  0.63 0 5.161511e+02 2.563560e+01 0.39 2.052031e+01 8.079862e+00  50.7 
  1533   0  171.964   76.754  303.94 6.210144e+02 2.993132e+02 135346.2  0.804  0.60 0 2.398890e+02 1.747673e+01 0.67 1.053962e+01 7.059873e+00  73.5 
  1534   0  265.299  101.331   88.05 6.489340e+02 3.019508e+02 138803.1  0.848  0.72 0 7.188010e+01 9.566640e+00 0.41 7.285830e+00 2.980900e+00  76.1 
  1535   0  348.867   88.126  336.83 6.573874e+02 2.935188e+02 126290.7  0.707  0.71 0 4.572614e+02 2.412889e+01 0.47 1.768004e+01 8.237749e+00  98.9 
  1536   0  193.552   89.014  291.56 6.668914e+02 2.971974e+02 119477.5  0.869  0.61 0 3.983717e+01 7.121956e+00 0.28 6.714426e+00 1.911539e+00  81.4 
  1537   0  273.259   64.759  230.46 6.781066e+02 2.965029e+02 121444.8  0.805  0.59 0 6.096819e+02 2.786164e+01 0.48 1.940577e+01 9.274598e+00 112.7 
  1538   0  309.364   14.464   30.10 4.633799e+02 7.168063e+02 119654.2  0.855  0.70 0 6.841601e+01 9.333272e+00 0.27 9.087512e+00 2.496724e+00  75.7 
  1539   0  298.497  120.419  247.80 6.893618e+02 3.042883e+02 102320.0  0.878  0.62 0 4.070319e+01 7.198952e+00 0.44 5.484837e+00 2.397084e+00  76.8 
  1540   0  189.586   75.998  268.35 7.014376e+02 2.998478e+02 123237.2  0.880  0.63 0 5.265435e+02 2.589239e+01 0.61 1.632738e+01 9.904190e+00 114.4 
  1541   0  210.255  101.411  279.02 7.199420e+02 3.026836e+02 117676.3  0.847  0.66 0 5.274095e+02 2.591368e+01 0.60 1.678047e+01 1.004286e+01 105.6 
  1542   0   68.498  162.616  101.81 7.317601e+02 3.001298e+02 107893.9  0.777  0.74 0 2.165063e+01 5.250376e+00 0.41 4.010408e+00 1.649673e+00  64.1 
  1543   0   95.334   43.778  216.68 7.399414e+02 3.025741e+02 123606.1  0.847  0.65 0 5.888972e+01 8.659142e+00 0.43 6.658329e+00 2.869494e+00  34.3 
  1544   0  310.164  139.439   58.65 7.425338e+02 2.867985e+02 142912.0  0.921  0.56 0 1.061747e+03 3.676763e+01 0.55 2.444040e+01 1.339672e+01  49.1 
  1545   0  110.760  115.612  116.29 7.637299e+02 3.007676e+02 128255.3  0.873  0.66 0 1.489564e+02 1.377161e+01 0.43 1.061054e+01 4.534507e+00  96.8 
  1546   0  102.220  128.359   18.62 7.742926e+02 2.941465e+02 137435.3  0.859  0.64 0 1.835974e+02 1.528932e+01 0.51 1.027538e+01 5.227727e+00 116.0 
  1547   0  193.078   72.685   61.90 7.757205e+02 3.184998e+02 134823.5  0.945  0.60 0 9.214510e+02 3.425241e+01 0.35 2.808174e+01 9.820394e+00 106.0 
  1548   0  210.611  153.566   40.00 7.939111e+02 2.990358e+02 126763.2  0.773  0.74 0 2.043820e+02 1.613156e+01 0.48 1.137249e+01 5.444266e+00  74.7 
  1549   0  264.484  138.088   75.88 8.032703e+02 2.937574e+02 147752.0  0.898  0.59 0 1.073871e+02 1.169314e+01 0.58 7.421829e+00 4.337006e+00 107.6 
  1550   0   23.822    8.861  274.93 8.058439e+02 3.112177e+02 126741.4  0.650  0.79 0 3.481422e+02 2.105394e+01 0.45 1.503607e+01 6.820140e+00  98.6 
  1551   0  335.814  163.804  354.83 8.170444e+02 2.954288e+02 137730.3  0.855  0.60 0 3.749890e+02 2.185065e+01 0.41 1.711968e+01 7.000215e+00  66.8 
  1552   0  128.657  100.030  156.24 8.315458e+02 2.910815e+02 126261.2  0.932  0.57 0 4.815101e+02 2.476041e+01 0.44 1.809928e+01 7.930720e+00 105.2 
  1553   0   73.540  114.303  144.63 8.452684e+02 3.032219e+02 136711.2  0.916  0.77 0 4.659217e+02 2.435631e+01 0.44 1.807162e+01 7.963733e+00  98.0 
  1554   0  261.101   66.328  219.06 8.562729e+02 3.004322e+02 119303.4  0.487  0.95 0 6.668395e+01 9.214372e+00 0.77 6.331152e+00 4.880007e+00  78.6 
  1555   0  238.836   56.697  222.70 8.639131e+02 2.972165e+02 140646.4  0.868  0.64 0 3.793191e+02 2.197644e+01 0.37 1.960441e+01 7.167869e+00  54.1 
  1556   0  241.324  121.268  214.86 8.766795e+02 3.071102e+02 119370.7  0.859  0.59 0 1.619467e+02 1.435956e+01 0.57 9.224081e+00 5.247400e+00 107.3 
  1557   0  174.409   49.420  316.67 8.889022e+02 2.942062e+02 138540.5  0.776  0.81 1 6.945524e+02 2.973771e+01 0.52 2.311567e+01 1.194155e+01  87.5 
  1558   0    2.533  104.702   32.56 6.718704e+02 7.249150e+02 127184.1  0.920  0.68 0 3.230275e+02 2.028032e+01 0.47 1.533242e+01 7.174289e+00  86.3 
  1559   0  192.966  111.344  284.75 2.048000e+02 6.159173e+02 78805.5  0.717  0.85 0 4.330127e+00 2.348039e+00 0.63 1.527520e+00 9.634079e-01 130.9 
  1560   0  188.926   41.452  268.96 5.185345e+00 8.086219e+02 107557.7  0.797  0.55 1 2.009179e+02 1.599427e+01 0.51 1.169402e+01 5.994468e+00  91.2 
  1561   0  346.389   75.010  303.90 1.318206e+01 7.891903e+02 122552.5  0.729  0.73 1 9.015324e+02 3.388018e+01 0.48 2.466947e+01 1.179236e+01  66.7 
  1562   0  314.015  134.192   18.69 7.547885e+02 7.132385e+02 113844.5  0.737  0.79 0 7.361216e+01 9.681214e+00 0.58 6.331148e+00 3.666031e+00  18.6 
  1563   0  259.315  121.571  238.56 1.450000e+01 7.101408e+02 70657.9  0.429  1.12 0 1.732051e+00 1.485031e+00 0.62 1.040839e+00 6.438765e-01  16.1 
  1564   0  259.672   95.573  260.86 6.075471e+02 5.152582e+02 119858.3  0.813  0.80 0 2.771281e+01 5.940122e+00 0.61 3.685547e+00 2.261861e+00 101.7 
  1565   0  150.015  116.101  335.91 4.023752e+02 3.075731e+02 116626.8  0.784  0.61 0 7.274613e+01 9.624098e+00 0.51 7.783524e+00 3.935876e+00 125.3 
  1566   0  152.723   59.109  201.42 5.588514e+02 6.201213e+02 112702.1  0.776  0.68 0 6.408588e+01 9.033088e+00 0.53 6.110103e+00 3.239382e+00 130.9 
  1567   0  249.240  134.356  317.31 7.276487e+02 5.275186e+02 127420.4  0.886  0.72 0 4.676537e+02 2.440154e+01 0.49 1.691399e+01 8.254613e+00  78.9 
  1568   0  174.971   51.060  309.74 5.965931e+02 6.343156e+02 119888.8  0.876  0.72 0 4.953665e+02 2.511414e+01 0.33 2.315346e+01 7.577147e+00 101.8 
  1569   0   74.611  121.660  133.03 3.177317e+02 7.191309e+02 113381.3  0.648  0.82 0 2.113102e+02 1.640270e+01 0.70 9.878437e+00 6.957656e+00 129.2 
  1570   0  304.638  172.776   55.85 7.641436e+02 5.215957e+02 140583.1  0.733  0.84 0 1.541525e+02 1.400975e+01 0.47 1.021435e+01 4.803323e+00  98.4 
  1571   0  172.772   64.716  309.22 7.057640e+02 6.214786e+02 110874.2  0.780  0.57 0 1.099852e+02 1.183375e+01 0.57 7.588339e+00 4.346848e+00 111.2 
  1572   0   84.458   52.415  214.33 4.871132e+02 7.145021e+02 117451.7  0.836  0.71 0 7.274613e+01 9.624098e+00 0.50 6.714432e+00 3.387752e+00 141.4 
  1573   0  323.768  172.261  264.13 7.802500e+02 3.026759e+02 72122.8  0.025  1.85 0 1.732051e+00 1.485031e+00 0.62 1.040846e+00 6.438682e-01 103.9 
  1574   0  114.561  130.637  131.00 1.832857e+02 5.152852e+02 100118.8  0.751  0.81 0 1.212436e+01 3.929021e+00 0.43 3.214539e+00 1.374126e+00  81.1 
  1575   0    5.840   53.853  322.36 8.601711e+02 3.082260e+02 106032.0  0.861  0.92 0 1.039230e+02 1.150300e+01 0.55 7.783543e+00 4.257194e+00 114.7 
  1576   0  263.264  110.397  193.82 1.539137e+02 6.306418e+02 130268.5  0.827  0.72 0 5.776389e+02 2.711960e+01 0.55 1.800927e+01 9.928333e+00 143.6 
  1577   0  200.855  107.179  356.06 3.576266e+02 5.172545e+02 103623.1  0.862  0.72 0 8.227242e+01 1.023487e+01 0.51 6.806867e+00 3.503733e+00  17.3 
  1578   0  193.171  113.539  293.64 8.251524e+00 7.176207e+02 115342.1  0.891  0.74 0 1.428942e+02 1.348846e+01 0.59 9.291595e+00 5.435823e+00 143.8 
  1579   0  288.654  150.450  303.82 4.201581e+02 6.210089e+02 107115.4  0.851  0.74 0 6.581793e+01 9.154343e+00 0.47 6.601736e+00 3.078091e+00  70.1 
  1580   0  100.998  122.335  135.56 4.290682e+02 3.064156e+02 101807.6  0.763  0.70 0 3.810512e+01 6.965410e+00 0.72 4.072253e+00 2.918217e+00 142.9 
  1581   0    9.950   89.419  283.90 4.989373e+02 7.239852e+02 119926.8  0.705  0.78 0 2.485493e+02 1.778940e+01 0.48 1.354928e+01 6.494866e+00  64.9 
  1582   0  162.528  146.669  214.87 5.457619e+02 3.122745e+02 111050.9  0.903  0.63 0 1.454923e+02 1.361053e+01 0.54 9.569923e+00 5.186867e+00 105.1 
  1583   0  340.765   75.205  331.07 8.037085e+02 6.239473e+02 122834.5  0.783  0.53 0 1.411621e+02 1.340646e+01 0.61 8.736900e+00 5.290515e+00 133.4 
  1584   0  153.278  154.869  336.70 8.971646e+02 6.339437e+02 123783.1  0.856  0.63 1 1.758031e+02 1.496127e+01 0.18 1.746660e+01 3.158629e+00  90.8 
  1585   0   15.263   79.854  247.62 1.368851e+02 6.233565e+02 125106.7  0.883  0.65 0 8.660254e+01 1.050075e+01 0.56 7.076927e+00 3.986752e+00  88.0 
  1586   0  105.537  111.659  153.67 1.995585e+02 6.217390e+02 130959.8  0.798  0.66 0 1.333679e+02 1.303109e+01 0.59 8.736900e+00 5.126692e+00 166.6 
  1587   0  197.498   87.931  276.98 2.907732e+02 6.228253e+02 126011.3  0.909  0.63 0 1.030570e+02 1.145497e+01 0.62 7.094569e+00 4.364805e+00  69.4 
  1588   0  260.522   59.558  236.42 2.999606e+02 6.319599e+02 114925.8  0.836  0.61 0 4.503332e+02 2.394540e+01 0.61 1.550272e+01 9.514251e+00 140.7 
  1589   0  344.841  111.377  352.52 5.312305e+02 6.231638e+02 119610.7  0.822  0.58 0 1.861955e+02 1.539712e+01 0.66 9.291586e+00 6.112054e+00  23.8 
  1590   0  258.072   68.410  246.47 5.673795e+02 6.231198e+02 115238.1  0.747  0.78 0 1.255737e+02 1.264458e+01 0.60 7.910934e+00 4.729530e+00  71.6 
  1591   0  219.245  140.943   51.78 7.018118e+02 1.611698e+02 111336.1  0.572  0.82 0 1.264397e+02 1.268811e+01 0.52 8.607172e+00 4.457784e+00  43.4 
  1592   0   66.084   55.888  224.90 7.283981e+02 1.618484e+02 120873.9  0.881  0.72 0 7.621024e+01 9.850578e+00 0.50 6.788468e+00 3.408742e+00 113.9 
  1593   0   34.290   40.566  230.47 7.356876e+02 6.182338e+02 94401.8  0.756  0.70 0 6.928203e+00 2.970061e+00 0.64 2.020721e+00 1.299243e+00 128.2 
  1594   0  108.329  112.487  144.19 7.085549e+02 7.193659e+02 121898.2  0.860  0.78 0 1.740711e+02 1.488738e+01 0.55 9.776683e+00 5.419990e+00  55.8 
  1595   0  187.073   79.448  303.70 7.914205e+02 1.654262e+02 129234.9  0.885  0.65 0 1.472243e+02 1.369131e+01 0.39 1.125092e+01 4.415339e+00  77.2 
  1596   0   20.057  109.957   38.54 7.779048e+02 6.180123e+02 113286.3  0.805  0.78 0 1.818653e+01 4.812049e+00 0.57 3.214559e+00 1.817858e+00  21.1 
  1597   0   31.621   41.735  242.44 8.112684e+02 7.230273e+02 114614.9  0.808  0.66 0 2.875204e+02 1.913328e+01 0.55 1.255320e+01 6.866704e+00  65.3 
  1598   0  193.893  106.712  290.67 8.776219e+02 1.591147e+02 117652.2  0.748  0.82 0 3.204294e+01 6.387358e+00 0.51 4.509256e+00 2.284321e+00  56.3 
  1599   0   21.926   64.905  244.36 1.094208e+02 6.267570e+02 117311.5  0.866  0.66 0 1.584827e+02 1.420515e+01 0.55 9.291578e+00 5.152082e+00  96.2 
  1600   0  244.201  174.573  180.94 1.823586e+02 6.329927e+02 130155.6  0.909  0.67 0 4.312806e+02 2.343339e+01 0.44 1.791879e+01 7.920494e+00  67.9 
  1601   0  354.447   60.919  330.26 8.077545e+00 2.179421e+01 151661.0  0.924  0.53 1 3.238935e+02 2.030749e+01 0.60 1.284848e+01 7.754705e+00 127.1 
  1602   0  111.533  104.116  154.53 4.783851e+02 6.295282e+02 109816.3  0.860  0.71 0 2.485493e+02 1.778940e+01 0.41 1.396721e+01 5.745005e+00  70.1 
  1603   0  343.710   62.224  317.54 4.721564e+02 5.166384e+02 102284.0  0.739  0.70 0 2.771281e+01 5.940122e+00 0.37 4.804504e+00 1.781378e+00 111.4 
  1604   0   18.647   47.841  330.59 5.064822e+02 5.153163e+02 103278.3  0.701  0.90 0 2.424871e+01 5.556475e+00 0.51 3.818817e+00 1.945239e+00 169.1 
  1605   0   12.663  112.085  320.60 5.735536e+02 7.235908e+02 124635.7  0.831  0.67 0 4.087640e+02 2.281347e+01 0.59 1.414509e+01 8.415222e+00  46.4 
  1606   0   80.757   56.318  222.69 7.442782e+02 7.281664e+02 119754.1  0.876  0.72 0 4.087640e+02 2.281347e+01 0.54 1.542994e+01 8.402337e+00  97.4 
  1607   0  204.192   39.382  115.59 8.300907e+02 5.284376e+02 116360.9  0.868  0.50 0 6.599113e+02 2.898664e+01 0.60 1.906786e+01 1.150922e+01  74.0 
  1608   0  170.102   47.408  312.86 5.095001e+01 7.163763e+02 102731.2  0.745  0.82 0 1.732051e+01 4.696079e+00 0.38 3.818803e+00 1.434419e+00  70.9 
  1609   0  305.066  122.978  240.14 7.964080e+01 5.303098e+02 123387.5  0.934  0.62 0 4.676537e+02 2.440154e+01 0.53 1.700248e+01 8.931557e+00 121.0 
  1610   0  336.358   58.039  310.72 9.653504e+01 5.211978e+02 127351.6  0.851  0.63 0 2.104442e+02 1.636905e+01 0.61 1.021439e+01 6.235051e+00  38.4 
  1611   0   24.016  153.056   33.21 1.072572e+02 3.727616e+02 131018.8  0.823  0.70 0 2.407551e+02 1.750825e+01 0.51 1.209682e+01 6.168653e+00 138.1 
  1612   0  243.943  113.794  198.10 2.454240e+02 5.274121e+02 129189.6  0.666  0.72 0 2.901185e+02 1.921953e+01 0.40 1.533245e+01 6.067895e+00 125.9 
  1613   0    5.300  131.602   40.58 2.879017e+02 5.178835e+02 109129.6  0.869  0.63 0 5.282755e+01 8.201349e+00 0.52 5.507572e+00 2.885601e+00   3.0 
  1614   0  155.253   48.927  139.96 3.223956e+02 5.175862e+02 120324.6  0.862  0.94 0 5.802370e+01 8.595235e+00 0.49 5.859485e+00 2.895854e+00  39.8 
  1615   0  206.620  158.926  146.31 8.031348e+02 5.201832e+02 117232.2  0.621  0.71 0 1.030570e+02 1.145497e+01 0.65 6.788468e+00 4.414072e+00  66.1 
  1616   0  321.047   51.559  310.19 3.368610e+02 3.698464e+02 115016.5  0.719  0.81 0 8.400446e+01 1.034204e+01 0.50 7.182153e+00 3.584934e+00 100.0 
  1617   0  125.377  131.541  143.25 3.506390e+02 3.682773e+02 117358.2  0.912  0.57 0 6.235383e+01 8.910183e+00 0.53 6.006949e+00 3.190048e+00 117.2 
  1618   0   79.429   51.063  147.24 7.802213e+01 7.280735e+02 109717.1  0.845  0.62 0 2.745301e+02 1.869606e+01 0.31 1.750241e+01 5.491772e+00  59.1 
  1619   0  191.440   45.028  224.60 9.248119e+01 6.280231e+02 108318.5  0.830  0.62 0 3.446781e+02 2.094893e+01 0.55 1.379615e+01 7.534379e+00 160.4 
  1620   0  150.119   45.423  140.10 4.079169e+02 3.679030e+02 118625.3  0.829  0.63 0 1.091192e+02 1.178706e+01 0.46 8.836472e+00 4.101166e+00 145.1 
  1621   0   12.083   39.628  273.69 4.023388e+02 6.242366e+02 112841.7  0.758  0.66 0 5.369357e+01 8.268300e+00 0.41 6.448538e+00 2.650951e+00  45.7 
  1622   0  194.880   56.611  319.83 3.594412e+02 7.216985e+02 127110.3  0.885  0.71 0 2.277647e+02 1.702936e+01 0.76 1.184624e+01 9.034146e+00 147.6 
  1623   0  188.382   86.713  355.94 8.436610e+02 3.719890e+02 113828.0  0.869  0.72 0 1.212436e+02 1.242466e+01 0.43 9.278113e+00 3.995427e+00 115.5 
  1624   0   21.146   48.546   53.53 2.971592e+01 3.698520e+02 100524.5  0.782  0.77 0 3.810512e+01 6.965410e+00 0.35 6.251678e+00 2.160297e+00  96.9 
  1625   0  131.473  121.997  157.09 6.094333e+02 6.249240e+02 109556.1  0.844  0.69 0 5.196152e+01 8.133847e+00 0.32 7.182153e+00 2.327911e+00 100.0 
  1626   0    2.414   54.089  268.08 4.034052e+02 5.234193e+02 111453.3  0.617  0.83 0 1.411621e+02 1.340646e+01 0.53 9.073747e+00 4.842523e+00 112.7 
  1627   0    9.764  102.826    5.44 5.463184e+02 5.241483e+02 113052.8  0.850  0.69 0 1.333679e+02 1.303109e+01 0.49 9.451607e+00 4.675289e+00  77.8 
  1628   0  344.598   47.424  313.61 3.704218e+02 3.685579e+02 116083.5  0.855  0.67 0 1.827314e+02 1.525322e+01 0.44 1.155783e+01 5.040609e+00   5.7 
  1629   0   91.562   66.142   34.40 1.717857e+02 6.216825e+02 98019.8  0.536  0.97 0 6.062178e+00 2.778238e+00 0.37 2.516632e+00 9.421279e-01 126.6 
  1630   0  282.666  136.428   34.83 4.958913e+02 3.755318e+02 119527.8  0.723  0.69 0 2.667358e+02 1.842874e+01 0.52 1.235247e+01 6.438553e+00  67.4 
  1631   0  170.653   16.825  342.24 1.879546e+02 6.218853e+02 116553.9  0.913  0.68 0 2.857884e+01 6.032222e+00 0.43 4.481458e+00 1.938995e+00  33.2 
  1632   0   13.024   68.568  255.40 2.080833e+02 6.213732e+02 88706.7  0.772  0.68 0 5.196152e+00 2.572148e+00 0.50 1.892954e+00 9.383864e-01  97.6 
  1633   0  180.577   81.725  261.48 2.608969e+02 7.265769e+02 125669.5  0.905  0.66 0 3.143672e+02 2.000662e+01 0.59 1.305117e+01 7.720952e+00  76.7 
  1634   0  349.249  112.101  294.07 1.406062e+02 5.277294e+02 134425.5  0.918  0.67 0 1.550185e+02 1.404905e+01 0.40 1.107172e+01 4.480031e+00  82.2 
  1635   0  239.504   46.441  295.11 7.199168e+02 3.769026e+02 117120.7  0.796  0.65 0 3.221614e+02 2.025311e+01 0.35 1.707581e+01 6.051459e+00 131.2 
  1636   0  185.919  102.756  289.20 5.198752e+02 7.209659e+02 121432.9  0.890  0.73 0 1.247077e+02 1.260090e+01 0.48 8.808142e+00 4.202277e+00  31.6 
  1637   0   81.564  123.348  301.16 7.282258e+01 3.740835e+02 111564.9  0.843  0.60 0 2.684679e+02 1.848848e+01 0.74 1.115048e+01 8.285252e+00 139.7 
  1638   0  271.079  139.156  104.09 5.421363e+02 7.244498e+02 126409.6  0.768  0.62 0 1.177794e+02 1.224588e+01 0.36 1.053962e+01 3.812093e+00  46.5 
  1639   0   44.260  140.573   50.39 4.532693e+02 5.179498e+02 98067.2  0.676  0.79 0 1.125833e+01 3.786100e+00 0.54 2.753795e+00 1.488752e+00  24.8 
  1640   0  342.688  111.285  347.90 7.372122e+02 6.265304e+02 117503.4  0.743  0.70 0 8.573651e+01 1.044812e+01 0.34 9.073774e+00 3.071864e+00  67.3 
  1641   0  305.517   39.283  248.40 7.781042e+02 6.246409e+02 136005.3  0.859  0.71 0 6.668395e+01 9.214372e+00 0.58 6.006969e+00 3.454491e+00  57.2 
  1642   0   22.379  109.671  297.93 8.493563e+02 7.289520e+02 119454.0  0.868  0.71 0 2.883864e+02 1.916207e+01 0.46 1.389543e+01 6.367640e+00 102.5 
  1643   0  120.706  169.549  150.57 4.922917e+01 6.233582e+02 97385.4  0.763  0.98 0 2.078461e+01 5.144297e+00 0.52 3.617104e+00 1.884932e+00 146.0 
  1644   0  287.406  122.946  233.73 7.853643e+02 5.226375e+02 109408.3  0.864  0.72 0 7.967434e+01 1.007197e+01 0.40 8.281537e+00 3.333105e+00 125.0 
